instance,budget,bmaavg,bmamax,opt
nrp1,30,1188.3,1201,1204
nrp2,30,4605.0,4726,4970
nrp3,30,7086.0,7123,7488
nrp4,30,9710.0,9818,10690
nrp5,30,17026.9,17200,18510
nrp1,50,1796.0,1824,1840
nrp2,50,7414.0,7566,8065
nrp3,50,10787.2,10897,11159
nrp4,50,14815.5,15025,15985
nrp5,50,24087.5,24240,24701
nrp1,70,2507.0,2507,2507
nrp2,70,10924.7,10987,11316
nrp3,70,14159.2,14180,14196
nrp4,70,20819.7,20853,20913
nrp5,70,28894.2,28909,28912
nrp-e1,30,7528.2,7572,7919
nrp-e2,30,7109.9,7169,7446
nrp-e3,30,6413.0,6461,6666
nrp-e4,30,5636.2,5692,5891
nrp-g1,30,5911.3,5938,6130
nrp-g2,30,4486.2,4526,4580
nrp-g3,30,5736.5,5802,5932
nrp-g4,30,4159.0,4190,4218
nrp-m1,30,9889.6,10008,10770
nrp-m2,30,8147.5,8272,8707
nrp-m3,30,9499.7,9559,10391
nrp-m4,30,7319.3,7408,7777
nrp-e1,50,10589.2,10664,11070
nrp-e2,50,9999.8,10098,10381
nrp-e3,50,9100.1,9175,9362
nrp-e4,50,7968.0,8043,8174
nrp-g1,50,8660.0,8714,8897
nrp-g2,50,6470.2,6502,6553
nrp-g3,50,8326.8,8402,8501
nrp-g4,50,5986.5,6030,6063
nrp-m1,50,14437.7,14588,15540
nrp-m2,50,11883.5,11975,12585
nrp-m3,50,14036.6,14138,15096
nrp-m4,50,10790.7,10893,11369
