instance profit crisk prisk
nrp1-30 1204 7.5000 32.6167
nrp2-30 4970 43.7600 131.6333
nrp3-30 7488 80.8833 201.3667
nrp4-30 10690 196.5000 282.0833
nrp5-30 18510 32.0800 457.1833
nrp1-50 1840 12.5833 47.8500
nrp2-50 8065 76.1500 211.1167
nrp3-50 11159 124.7500 294.2500
nrp4-50 15985 311.9833 419.8667
nrp5-50 24701 56.3833 627.6500
nrp1-70 2507 16.0500 63.2000
nrp2-70 11316 99.5000 293.0167
nrp3-70 14196 159.0667 363.4167
nrp4-70 20913 408.7000 535.2167
nrp5-70 28912 71.0000 728.2000
nrp-e1-30 7919 0 0
nrp-e2-30 7446 0 0
nrp-e3-30 6666 0 0
nrp-e4-30 5891 0 0
nrp-g1-30 6130 0 0
nrp-g2-30 4580 0 0
nrp-g3-30 5932 0 0
nrp-g4-30 4218 0 0
nrp-m1-30 10770 0 0
nrp-m2-30 8707 0 0
nrp-m3-30 10391 0 0
nrp-m4-30 7777 0 0
nrp-e1-50 11070 0 0
nrp-e2-50 10381 0 0
nrp-e3-50 9362 0 0
nrp-e4-50 8174 0 0
nrp-g1-50 8897 0 0
nrp-g2-50 6553 0 0
nrp-g3-50 8501 0 0
nrp-g4-50 6063 0 0
nrp-m1-50 15540 0 0
nrp-m2-50 12585 0 0
nrp-m3-50 15096 0 0
nrp-m4-50 11369 0 0
