alg,instance,cycle,budget,risk,fit,solution
ILS,nrp1,0,30,8,1163.0,[---SSS-SS--S---SSS---S-----S--SS-S---S-S--S--S-----S--------S-SSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,1,30,8,1174.0,[---SSS-SS------SSS-S----S-SS--S-----SS----S--S-----S--------SSSSSS--S-SSS-S--S-S--S-SS-S-S--S--S-S--]
ILS,nrp1,2,30,8,1192.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS-S--S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,3,30,8,1101.0,[---SSS-S-SS---S-SS------------S--S---SSS--S---S----S------S---SS-S--S-SS--S--S-SS-S-SSSS-SS----S-S-S]
ILS,nrp1,4,30,8,1192.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS-S--S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,5,30,8,1166.0,[--SSSS-S--SS---SSS---------S--S--S---S-S--S---S----S-------SSSSSSS--S-SS--S--S-S--S-SS-S-SS----S-S--]
ILS,nrp1,6,30,8,1192.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS-S--S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,7,30,8,1146.0,[--SSSS-S---S---SSS---S-----S---S-S---S-S--S---SS---S-S--SS-S--SS-S--S-S---SS-S-S--S-SS-S-S-----S-S--]
ILS,nrp1,8,30,8,1161.0,[---SSS-S--SS---SSS------S-----SS-S---S-S--S---S----S--------SS-SSS--S-SS--SS-S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,9,30,8,1180.0,[--SSSS-SS------SSS-S------SS--S--S--SS-S--S--SS----S-------SS-SSSS--S-SSS----S-S--S-SS-S-S-----S-S--]
ILS,nrp1,10,30,8,1147.0,[---SSS-SS-S----SSS-S------S---S--S--SS-S--S---S----S------S-S-SSSS--S-SSS-S--S-S--S-SS-S-------S-S-S]
ILS,nrp1,11,30,8,1174.0,[---SSS-SS------SSS-S----S-SS--S-----SS----S--S-----S--------SSSSSS--S-SSS-S--S-S--S-SS-S-S--S--S-S--]
ILS,nrp1,12,30,8,1100.0,[---SSS-S--S-----SS-S----S--------S--SS----S---S----S------S--S-S-S-SS-S-S-S--S-S--SSSS-S-SS----S-SSS]
ILS,nrp1,13,30,8,1192.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS-S--S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,14,30,8,1192.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS-S--S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS----S-S--]
