alg,instance,cycle,budget,risk,fit,solution
ILS,nrp1,0,30,0,5.633333333333333,[---------------------------S----S---SS----S----S---------S-S--------S-----SS---S---S-S--------------]
ILS,nrp1,1,30,0,6.466666666666666,[---SS--S--S-----SS------------S--S---S----S-------SS------S-SS-SSS--S-SS-----S-S--SSSS-S--SS---S-SS-]
ILS,nrp1,2,30,0,6.2333333333333325,[-------------S-------S----S----------S-S--S------S------S---S----S--------S----------S----S-------S-]
ILS,nrp1,3,30,0,5.483333333333334,[----S-----S------S------S----------S-S----SS----S---S-------S-SS-----S------SS----S-S----S-------S--]
ILS,nrp1,4,30,0,6.833333333333335,[---S-S-S--------SS------------SS-----S--SSS-----------S---SS---S-S--SSSS--SS-S-S----SS-S-------S---S]
ILS,nrp1,5,30,0,6.3166666666666655,[--SSSS-SS--------S---S----S---SS-S--SS-S-SS--------S------SS---S-S--S--S--SS-S-S--S-SS-S-------S-S-S]
ILS,nrp1,6,30,0,0.5333333333333332,[-------------------------------------S------------------------S-----------S--S---------S------------]
ILS,nrp1,7,30,0,6.116666666666666,[----S---SS-S----SS-S------S---S-----SS----S---S----S------S-S-S-SS--S--SS----S-S--S-SSSS------SS-S-S]
ILS,nrp1,8,30,0,6.4833333333333325,[----S--S--S--S-S-SS------------------S--------S---------S---S---S--S-S----SS-S----S--SS--S----------]
ILS,nrp1,9,30,0,6.949999999999999,[S---SS----S----S-S-S----------------SS----------S--S-S--S------S-S--S---SSSS-S----S-SS-S-SS------S--]
ILS,nrp1,10,30,0,6.666666666666666,[--S--S----S---S-SS------------S--S---S----S---SS--S-----S--S---S-----S-S-----S-S--S-S--S-S-----S-S--]
ILS,nrp1,11,30,0,5.866666666666665,[S---S-S---S------S-S---S------------------SS--SS----------S--SSS-----SS----S-S--S-S-S--------------S]
ILS,nrp1,12,30,0,4.516666666666667,[--S----S---S------------S-----------------------------S-----S---------S-------S---------------------]
ILS,nrp1,13,30,0,6.683333333333333,[--SSSS------S--SSS----S-------S--S--SS----S--S-S---S----S--SS--SSS-----------S----S-SS-S-------S-S--]
ILS,nrp1,14,30,0,6.616666666666665,[--SSSS-SS--S----SS-S-S----S---SS-S--SS-S--S--------S-----S-SS--SSS--S--SS-SS-S-S--S-SS-S-------S-S--]
ILS,nrp1,15,30,0,6.300000000000002,[S---SS--S--S------------S-------S----S-S--S--------S-S----S--S------S--------S--S-S--S---------S---S]
ILS,nrp1,16,30,0,-278.0,[---SS--S--------SS---S--------S--S---S----S---S--S-S------S-S-SSSS--S--S---S-S-S----SS-S-------SSS-S]
ILS,nrp1,17,30,0,-293.0,[-------S--SS----SS--------S--------S-S-SS-S-S-S----S---------S-S-S--S-----S--S----S---S---------S---]
ILS,nrp1,18,30,0,6.616666666666667,[---SS--SS--------S-S----S-S-S-S--S--SS----S--------S----SSS-S--S-S---S--S----S----S-SS-S-S--S--S-S-S]
ILS,nrp1,19,30,0,-275.0,[--S---------S------S--------S-----S--S--------------S----S---SSS-S--S---S-S--S--------S-----S--S----]
ILS,nrp1,20,30,0,5.149999999999999,[--SS-S-S--------SS---S-----------S---S----S---S--------------SS-----SS------------S--S-------S-S---S]
ILS,nrp1,21,30,0,6.5166666666666675,[----S---------S-SS-----------SS-----------SS-------SS-------S--SSS-----S---S-S-SS-S--S-S-------S---S]
ILS,nrp1,22,30,0,6.466666666666666,[---SSS-S-S-S----SS--S------S--S------S----S--------S--------S--SSS--S-----SSSS----S--S-S------------]
ILS,nrp1,23,30,0,6.716666666666666,[--SSSS-S---S----SS---S--------SS-S---S-S--S--------S-S--SSSSS-SSSS--S--S--SS-S-S--S-SS-S-------S-S-S]
