alg,instance,cycle,budget,risk,fit,solution
ILS,nrp1,0,30,20,0.8318021410114433,[--SSSS-SS------SSS-S------SS--S--S--SS-S--S--SS----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-------S-S--]
VISILS,nrp1,0,30,20,0.8257866371354744,[--SSSS-SS-------SS-S------SS--S--S--SS----S---S----S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
ILS,nrp1,0,30,50,0.6043540051679586,[---SSS-SS------SSS-S----S-S---S--S--SS-S--S---S----S--------SS-SSS--S-SSS-S--S-S--S-SS-S-S--S--S-S--]
VISILS,nrp1,0,30,50,0.6043540051679586,[---SSS-SS------SSS-S----S-S---S--S--SS-S--S---S----S--------SS-SSS--S-SSS-S--S-S--S-SS-S-S--S--S-S--]
ILS,nrp1,0,30,80,0.8021912144702843,[----S--------------------------------S--------------------------------------------------------------]
VISILS,nrp1,0,30,80,0.8021912144702843,[----S--------------------------------S--------------------------------------------------------------]
ILS,nrp2,0,30,20,0.7638259845483626,[S-S-S-SS-------------S-S--SS---S---S----SSS--S-S--S-------S--S---SS--S-----S----SS--S-S-S--S--S----------SS---S------------S--SS--S-SS-----S---S--S----S--S--S-SSSSS------SS---SS----SS-SS------SS--S---SSSS-S---S--S---SS---SS----S--------SSS--S---S---S----SS---------SS---------S----SS---SSSS-SSSS--S----------S-SSSS---S----S----------S--S---SS-S-S---S------S--SS-S-SS-----S---------S-----S------SS--S-S-SSS-SS----S-------S---SS--S-----S-S-S-S--SS------S-SS--SSS---S----S----S-------S-------S--SSSS-S--]
VISILS,nrp2,0,30,20,0.7911430557752365,[S-S-S-SS-------SS------S--SSSS-S---S---S-SS-SS----S-------S----SS-S--SSS-------SSS--S--SS-S---S-S-----S--SS-S-S-------S-S--S--SS--S-SS---S---S-S-----SSS--S--S-------------S---SS----SS-SS---S--S-S-S--SSSS--S---S-SS--S-S---SS-S--S---S----SS---S-S----------S-----------S---------S----S----S-SS-S-S---S-S--------S-S-SS-S-SS---S--S--S--S-SS-S---SS-SS----S------S--S--S-SS-----S--S-S----S-----S-----SSS--S-S---S-S---S-S-------S--SS----S----S-S-S-SS-S-------S-----SS---------S----S------------------SSSSSSS-]
ILS,nrp2,0,30,50,0.5981528414852307,[S-S-S-SSS------SSS-----S---S-S-----S----SSS--S-S--S-------S-------S----------------SS---S-S-------S---S--SS-SSS-------S-S--S--S---S-SS---S-----S-----SSS--S--S--S--------S-S---SS---SSS-SS-----SS---S--SSSS--S---S--S--SSS---SS-S-SS---S---SSS---S---S--------S-------S-------------S----S----S--S-S-S-----S--------S-S-SS-S-SS---S--S-----S-SS-S---SS-S-----S------S--SS-S--S-----S--S------S---S---------S--S-S---S-S-----S------SS---S---SS----S---S--S-S-------S--SS-SS---------S----S----------S-------S-SSS---]
VISILS,nrp2,0,30,50,0.5965652231487646,[S-S-S--SS------SSS-----S---S-S-----S----SSS--S-S--S-------S------------------------SS---S-S-------S---S-----SSS-------S-S--S--S---S-SS---S-----S-----SSS--S--S--S--------S-S---SS----SS-SS-----SS---S--SSS---S---S--S--SSS---SS-S-SS---S---SSS---S---S--------S-------S-------------S----S----S--S-S-S-----S--------S-S-SS-S-SS---S--S-----S-SS-S---SS-S-----S------S--SS-S--S-----S--S------S---S---------S--S-S---S-S-----S------SS---S---SS----S---S--S-S-------S--SS-SS---------S----S------------------S-SSS---]
ILS,nrp2,0,30,80,0.8026041195374564,[----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------S------------------------S--------------------------------S--------------------------S--------------------------------------------------------------------------------------------------------------------------S-----------------------------------------------------------------------------------------------]
VISILS,nrp2,0,30,80,0.8026041195374564,[----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------S------------------------S--------------------------------S--------------------------S--------------------------------------------------------------------------------------------------------------------------S-----------------------------------------------------------------------------------------------]
ILS,nrp3,0,30,20,0.8168859771756632,[-S---SSS-S-S--S-S--S--SSSS-S---SS---SSS-S-S-----S-S---SSS----SSS----SS-S--S-----S--S--S--SS-SSS-S-S----S-SSS-SSSSS--S---SSSS--SS-SSS-SS--SSSS---SSSS-S-S-----S--S---S----SSSS-SSSSSS-S-SSSS-S---S-SSSS-SS-S---SS-SS--S---SS----S-----S-SS-SS-SSS--S---SS-S-S-S--S-S---SS-SS-S-SSSSS--SS-----S-SS-SSS--SS----S--SS---SS-S--SSS-SSSS--------S-------S----S-SS-S-SS--S-------S-SS-S--SSSSS-SS--SSSSSS---SS-S--SSS-SS-SSS--S-SS------S---SSS---SSS---SSSSSSSSSSSSS-S-SS-S------S---S-SS--S-S-S-SS---S-S-SS-S-S-SS---SS--]
VISILS,nrp3,0,30,20,0.8167320734998798,[-SSS-SS--S-S--S-S--S--SSSS-S---SS---SSS---SS----------S-S----S-S----SS-S-SS--S--S---S-S--SS-SSSS--S----SS--S-SSSSS--S--S-S-SS-SS-SSS-SS--SSSS-SSSSSS-S-S--S----SS---S---SSSSS-S-S--S-S-SSSSSS---S-SS-S-SSSS---SS-SS--S------S--SS-S--S--S--S-SS-S------SSS-SSS--S-----SS-S-----S-S---S------S-SSSS-S-S-S----S-SSS-S-SS--S-SSS-SSS-SSS-----S---S---S----S-SS---SS-S----S---S-SS-S--SS--SSSS--SSSSSS---S--S---SS-SS-SSS--SSSS-SSS--S----S-----S---SSSS--SSSSSSSS-S--SSS----S-S---SSSS----S-S-SS---S-SSSSSS-S-SS-S-SSS-]
ILS,nrp3,0,30,50,0.6123878164709096,[-SSS-SS--S-S--S-------SS-S-S---SS---SS----S-S---S---S-S-S------SSS--SS-S-S--S---S--S--S--S--SSSS--S-S--S----SSSSS-S-S----S-S--SS-SSS-SS--SSSS---SSSS-S-S--S---S-S---S---SSSSS-S-SS---S-SSSS-S-----SS-S-SSSS---SS-SS--S---SS----S-----S-----S-SS------SS-SS-S-S-S------S--SS-S--S-SS--S----------S--S-S-S----S---S---SS-S--SSS--SSS--S---S-------S--S---S-SS---SS----S-S---S-SS-S--S---S-SS--SSSS-S---S-SS----S-----S-SSS-S--S-S------SS-----S----S----SSSSS-SS-S---S-----S-S---S-SSS---S-S-S--S-S-S-SS-S---SS-S-S-S-]
