alg,instance,cycle,budget,risk,fit,solution
ILS,nrp1,0,30,10,0.9004905836865849,[--SSSS-SS------SSS-S------SS--S-----SS----S--S-----S-------SS-SSSS--S-SSS-SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,1,30,10,0.9035053992054244,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,2,30,10,0.8916985620194068,[--SSSS-SS---S---SS-S------SS--S-----SS----S--------SS------SS-SSSS--S-SSS-S-SS-S--S-SS-S-SS----S-S--]
ILS,nrp1,3,30,10,0.8542689802176596,[SS-SSS-S-------SSS-S--S-S------S-----S----SS---S---S---------SSS-S--S-S-S-SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,4,30,10,0.9015257131848372,[--SSSS-SS-------SS-S-S----SS--SS-S--SS----S--------S-------SSSSSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
ILS,nrp1,5,30,10,0.9051800277929356,[--SSSS-S--S-----SS---S-----SS-SS-S---S----S---S----S----SS-SS-SSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,6,30,10,0.9002540610620963,[--SSSS-SS-------SS---S-----S--SS-S---S----S--------S----SS-SSSSSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,7,30,10,0.893986373424309,[--SSSS-S--S-----SS---S--S--S--SS-S---S----S--------S----SS-SSSSSSS--S-SS--SS-S-S--S-SS-S----S--S-S--]
ILS,nrp1,8,30,10,0.9047580811120743,[--SSSS-SS-------SS-S----S-SS--S-----SS----S--------S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,9,30,10,0.9004905836865849,[--SSSS-SS------SSS-S------SS--S-----SS----S--S-----S-------SS-SSSS--S-SSS-SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,10,30,10,0.8941470151844335,[--SSSS-SS-S----SSS---S-----S--SS-----S----S--SS----S-------SS-SSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,11,30,10,0.9035053992054244,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,12,30,10,0.8981458616334096,[--SSSS-SS-S----SSS-S------SS--S-----SS----S--SS----S-------SS-SSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
ILS,nrp1,13,30,10,0.9004905836865849,[--SSSS-SS------SSS-S------SS--S-----SS----S--S-----S-------SS-SSSS--S-SSS-SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,14,30,10,0.9051800277929356,[--SSSS-S--S-----SS---S-----SS-SS-S---S----S---S----S----SS-SS-SSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,15,30,10,0.8941717974806818,[--SSSS-S--S-----SS---S--S--S--SS-----S----S---S----S-------SSSSSSS--S-SS--SS-S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,16,30,10,0.9035053992054244,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,17,30,10,0.8974815802479026,[--SSSS-S--S-----SS-S-S-----S--SS-S---S----S--------S-------SSSSSSS--S-SSS-SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,18,30,10,0.859951335285543,[--SSSS-S-SS-S---SS---------S--S--S---S----S---S----SS------SS-SSSS--S-SS--SSSS-S--S-SSSS-------S-S--]
ILS,nrp1,19,30,10,0.8799354773457283,[---SSS-SS-S-----SS-S------S---S--S--SS----S--------S------S-SS-SSS--S-SSS-SS-S-S--S-SS-S-SS----S-S-S]
ILS,nrp1,20,30,10,0.889698371807109,[--SSSS-S--S-S---SS---S-----S---S-S---S----S---S----SS---SS-S-SSS-S--S-S---SSSS-S--S-SS-S-SS----S-S--]
ILS,nrp1,21,30,10,0.8981458616334096,[--SSSS-SS-S----SSS-S------SS--S-----SS----S--SS----S-------SS-SSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
ILS,nrp1,22,30,10,0.8573933389285078,[SS-SSS-S--S----S-S-S--S-S------S-----S----SS--SS---S---------S-S-S--S-S-S-SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,23,30,10,0.8964332926137163,[--SSSS-S--S-S---SS---S-----S--SS-S---S----S--------SS------SSSSSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,24,30,10,0.8855783580058101,[--SSSS-S----S---SS-S-S-----S--SS-----S----S--------SS------SS-SSSS--S-SSS-SSSS-S--S-SS-S-SS----S-S--]
ILS,nrp1,25,30,10,0.9035053992054244,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,26,30,10,0.8981458616334096,[--SSSS-SS-S----SSS-S------SS--S-----SS----S--SS----S-------SS-SSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
ILS,nrp1,27,30,10,0.8885552330924676,[--SSSS-SS---S---SS-S------SS--S--S--SS----S--------SS------SS-SSSS--S-SSS-SSSS-S--S-SS-S-------S-S--]
ILS,nrp1,28,30,10,0.9015257131848372,[--SSSS-SS-------SS-S-S----SS--SS-S--SS----S--------S-------SSSSSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
ILS,nrp1,29,30,10,0.8888296961491382,[S-SSSS-S--S-----SS-S-S--S--S---S-----S----SS--S----S-------S-SSS-S--S-S-S-SS-S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,0,30,10,0.8902546439762269,[--SSSS-S--S-S---SS-S-S--S--S---S-----S----S---S----SS------S-SSS-S--S-S-S-SSSS-S--S-SS-S-SS----S-S--]
VISILS,nrp1,1,30,10,0.8828233134320878,[S-SSSS-S--S-S---SS---S-----S---S-----S----SS--S----SS------S-SSS-S--S-S---SSSS-S--S-SS-S-SS----S-S--]
