budget,risk,cust,fit
30,10,1,0.125328073089701
30,10,1,0.1253668327796235
30,10,1,0.12757613510520488
30,10,1,0.12609634551495016
30,10,1,0.12091500553709855
30,10,1,0.11934523809523812
30,10,1,0.12311046511627907
30,10,1,0.12615310077519382
30,10,1,0.11704595791805095
30,10,1,0.1230952380952381
30,10,1,0.12310908084163899
30,10,1,0.1186060354374308
30,10,1,0.12080426356589147
30,10,1,0.12910575858250278
30,10,1,0.1208997785160576
30,10,1,0.11861572535991141
30,10,1,0.12160575858250278
30,10,1,0.12017718715393134
30,10,1,0.12532530454042085
30,10,1,0.12689230343300112
30,10,1,0.11939091915836103
30,10,1,0.12757613510520488
30,10,1,0.128374861572536
30,10,1,0.12607834994462902
30,10,1,0.11714700996677742
30,10,1,0.12013565891472869
30,10,1,0.1298781838316722
30,10,1,0.12689230343300112
30,10,1,0.11630398671096347
30,10,1,0.128374861572536
30,10,1,0.11414867109634552
30,10,1,0.11485741971207089
30,10,1,0.12612679955703213
30,10,1,0.1186060354374308
30,10,1,0.126031284606866
30,10,1,0.11792635658914728
30,10,1,0.12689922480620153
30,10,1,0.12609634551495016
30,10,1,0.12460271317829458
30,10,1,0.11939091915836103
30,10,1,0.12085686600221485
30,10,1,0.11785714285714287
30,10,1,0.12310908084163899
30,10,1,0.12380675526024364
30,10,1,0.11640365448504984
30,10,1,0.1252768549280177
30,10,1,0.12232558139534883
30,10,1,0.11414867109634552
30,10,1,0.12092469545957918
30,10,1,0.12017718715393134
30,10,1,0.12016334440753045
30,10,1,0.12012458471760797
30,10,1,0.12605481727574752
30,10,1,0.12683831672203766
30,10,1,0.12466500553709857
30,10,1,0.12380675526024364
30,10,1,0.12016334440753045
30,10,1,0.1298781838316722
30,10,1,0.11717469545957918
30,10,1,0.12085686600221485
30,10,1,0.11785714285714287
30,10,1,0.12165420819490587
30,10,1,0.11640365448504984
30,10,1,0.12607834994462902
30,10,1,0.11637873754152825
30,10,1,0.11485741971207089
30,10,1,0.12462486157253601
30,10,1,0.12910575858250278
30,10,1,0.11857281284606865
30,10,1,0.12154761904761906
30,10,1,0.12011489479512737
30,10,1,0.12013565891472869
30,10,1,0.12165420819490587
30,10,1,0.12016334440753045
30,10,1,0.11485741971207089
30,10,1,0.11861572535991141
30,10,1,0.12080426356589147
30,10,1,0.12085686600221485
30,10,1,0.11939784053156147
30,10,1,0.126031284606866
30,10,1,0.1238718161683278
30,10,1,0.12612679955703213
30,10,1,0.12532530454042085
30,10,1,0.11867386489479512
30,10,1,0.126031284606866
30,10,1,0.12385382059800665
30,10,1,0.12612679955703213
30,10,1,0.12307170542635659
30,10,1,0.11941583610188261
30,10,1,0.12155730897009967
30,10,1,0.12158776301218163
30,10,1,0.11714424141749724
30,10,1,0.128374861572536
30,10,1,0.1133970099667774
30,10,1,0.1133970099667774
30,10,1,0.125328073089701
30,10,1,0.11564091915836103
30,10,1,0.1298781838316722
30,10,1,0.12154761904761906
30,10,1,0.12011489479512737
30,10,2,0.1380578626799557
30,10,2,0.14478682170542637
30,10,2,0.13654761904761906
30,10,2,0.1432405869324474
30,10,2,0.14184108527131783
30,10,2,0.14322674418604653
30,10,2,0.1506921373200443
30,10,2,0.1552934662236988
30,10,2,0.14246124031007754
30,10,2,0.13802602436323366
30,10,2,0.1409482281284607
30,10,2,0.1544822812846069
30,10,2,0.1454346622369878
30,10,2,0.14842607973421929
30,10,2,0.1485202104097453
30,10,2,0.13194490586932447
30,10,2,0.1372328349944629
30,10,2,0.1417857142857143
30,10,2,0.14991002214839425
30,10,2,0.1454817275747508
30,10,2,0.14765227021040975
30,10,2,0.13498477297895906
30,10,2,0.14169573643410854
30,10,2,0.14920957918050942
30,10,2,0.14618493909191582
30,10,2,0.1417275747508306
30,10,2,0.14028654485049835
30,10,2,0.14845099667774087
30,10,2,0.13941029900332227
30,10,2,0.14028654485049835
30,10,2,0.1380107973421927
30,10,2,0.14466777408637876
30,10,2,0.14696982281284607
30,10,2,0.13575996677740865
30,10,2,0.1386904761904762
30,10,2,0.1364673311184939
30,10,2,0.14401439645625694
30,10,2,0.13797065337763012
30,10,2,0.1402062569213732
30,10,2,0.13652408637873753
30,10,2,0.1424169435215947
30,10,2,0.15142165005537098
30,10,2,0.1559952934662237
30,10,2,0.149234496124031
30,10,2,0.14540974529346623
30,10,2,0.1424169435215947
