budget,round,cust,fit
15,0,1,27
15,0,1,27
15,0,1,25
15,0,1,26
15,0,1,31
15,0,1,23
15,0,1,29
15,0,1,35
15,0,1,35
15,0,1,21
15,0,1,22
15,0,1,25
15,0,1,28
15,0,1,36
15,0,1,22
15,0,1,27
15,0,1,30
15,0,1,29
15,0,1,27
15,0,1,28
15,0,1,30
15,0,1,28
15,0,1,31
15,0,1,23
15,0,1,36
15,0,1,22
15,0,1,41
15,0,1,26
15,0,1,35
15,0,1,24
15,0,1,24
15,0,1,28
15,0,1,26
15,0,1,34
15,0,1,33
15,0,1,40
15,0,1,26
15,0,1,30
15,0,1,28
15,0,1,26
15,0,1,23
15,0,1,23
15,0,1,27
15,0,1,39
15,0,1,26
15,0,1,35
15,0,1,27
15,0,1,34
15,0,1,32
15,0,1,29
15,0,1,31
15,0,1,32
15,0,1,28
15,0,1,28
15,0,1,25
15,0,1,35
15,0,1,23
15,0,1,30
15,0,1,32
15,0,1,27
15,0,1,34
15,0,1,26
15,0,1,27
15,0,1,26
15,0,1,26
15,0,1,26
15,0,1,40
15,0,1,40
15,0,1,27
15,0,1,41
15,0,1,26
15,0,1,26
15,0,1,31
15,0,1,34
15,0,1,31
15,0,1,28
15,0,1,28
15,0,1,41
15,0,1,34
15,0,1,25
15,0,1,35
15,0,1,22
15,0,1,22
15,0,1,29
15,0,1,27
15,0,1,24
15,0,1,31
15,0,1,20
15,0,1,27
15,0,1,30
15,0,1,27
15,0,1,28
15,0,1,26
15,0,1,35
15,0,1,25
15,0,1,24
15,0,1,29
15,0,1,35
15,0,1,33
15,0,1,26
15,0,2,58
15,0,2,54
15,0,2,51
15,0,2,48
15,0,2,69
15,0,2,57
15,0,2,72
15,0,2,60
15,0,2,56
15,0,2,48
15,0,2,60
15,0,2,61
15,0,2,40
15,0,2,61
15,0,2,45
15,0,2,55
15,0,2,44
15,0,2,56
15,0,2,61
15,0,2,54
15,0,2,68
15,0,2,64
15,0,2,52
15,0,2,66
15,0,2,51
15,0,2,56
15,0,2,53
15,0,2,52
15,0,2,44
15,0,2,67
15,0,2,58
15,0,2,66
15,0,2,47
15,0,2,60
15,0,2,58
15,0,2,54
15,0,2,62
15,0,2,55
15,0,2,51
15,0,2,67
15,0,2,56
15,0,2,57
15,0,2,57
15,0,2,54
15,0,2,60
15,0,2,56
15,0,2,45
15,0,2,55
15,0,2,63
15,0,2,67
15,0,2,75
15,0,2,55
15,0,2,72
15,0,2,62
15,0,2,62
15,0,2,53
15,0,2,56
15,0,2,65
15,0,2,57
15,0,2,56
15,0,2,51
15,0,2,60
15,0,2,56
15,0,2,71
15,0,2,48
15,0,2,56
15,0,2,54
15,0,2,56
15,0,2,50
15,0,2,53
15,0,2,75
15,0,2,59
15,0,2,67
15,0,2,73
15,0,2,47
15,0,2,61
15,0,2,50
15,0,2,49
15,0,2,54
