alg,instance,cycle,budget,risk,fit,solution
ILS,nrp1,0,30,10,0.9133532668881506,[---SSS-SS-S-----SS-S----S-S---S--S--SS-S--S---S----S--------SS-SSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,1,30,10,0.9054743447766704,[--SSSS-SS-------SS---S-----S--SS-S---S-S--S---S----S-------SSSSSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,2,30,10,0.9113329641934292,[--SSSS-SS------SSS-S------SS--S--S--SS-S--S--SS----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-------S-S--]
ILS,nrp1,3,30,10,0.8554315245478037,[---SSS-S--S-----SS-S----------S--S---S----S---S----S------S-S--SSS-SS-SSS-S--S-S--SSSS-S-SS----S-SSS]
ILS,nrp1,4,30,10,0.9133532668881506,[---SSS-SS-S-----SS-S----S-S---S--S--SS-S--S---S----S--------SS-SSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,5,30,10,0.9068076781100037,[--SSSS-SS------SSS---S-----S--SS-S---S----S--SS----S-------SS-SSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,6,30,10,0.9133532668881506,[---SSS-SS-S-----SS-S----S-S---S--S--SS-S--S---S----S--------SS-SSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,7,30,10,0.8946456256921372,[--SSSS-S----S---SS------S--S--S--S---S----S---S----SS------SSSSSSS--S-SS--S-SS-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,8,30,10,0.9113329641934292,[--SSSS-SS------SSS-S------SS--S--S--SS-S--S--SS----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-------S-S--]
ILS,nrp1,9,30,10,0.9133532668881506,[---SSS-SS-S-----SS-S----S-S---S--S--SS-S--S---S----S--------SS-SSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,10,30,10,0.9133532668881506,[---SSS-SS-S-----SS-S----S-S---S--S--SS-S--S---S----S--------SS-SSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,11,30,10,0.9071712809154671,[--SSSS-S--------SS-S----S--S--S--S---S-S--S---S----S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,12,30,10,0.9133532668881506,[---SSS-SS-S-----SS-S----S-S---S--S--SS-S--S---S----S--------SS-SSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,13,30,10,0.9031712809154671,[--SSSS-SS------SSS---S-----S--SS-S---S----S--SS----S----SS-SS-SSSS--S-SS--SS-S-S--S-SS-S-------S-S--]
