alg,instance,cycle,budget,risk,fit,solution
HC,nrp1,0,30,0,1161.0,[--SSSS-S---S----SS---S-----SS-SS-S---S-S--S----S---S-S--SS-SS-SSSS--S--S--SS-S-S--S-SS-S-------S-S--]
HC,nrp1,1,30,0,1147.0,[--SSSS-SS-------SS---S----S---SS-S--SS-S--S--------S----SS-SS--SSS--S-SS--SS-S-S--S-SS-S-S-----S-S--]
HC,nrp1,2,30,0,1136.0,[--SSSS-S---S----SS---S--------SS-S---S-S--S----S---S-S--SS-SS-SSSS--S--S--SS-S-S--S-SS-S--S----S-S--]
HC,nrp1,3,30,0,1153.0,[--SSSS-S---S----SS-S-S--------SS-S---S-S--S--------S-S--SS-SS--SSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
HC,nrp1,4,30,0,1151.0,[--SSSS-SS------SSS---S----S---SS-S--SS----S--S-----S----SS-SS-SSSS----SS--SS-S-S--S-SS-S-------S-S--]
HC,nrp1,5,30,0,1137.0,[--SSSS-SS-------SS-S-S--S-S---SS-S--SS----S--------S----SS-SS--SSS---S-SS-SS-S-S--S-SS-S-------S-S--]
HC,nrp1,6,30,0,1128.0,[---SSS-SS------SSS-S----S-S---SS----SS-S--S--------S--------SS-SSS--SS-SS-SS-S-S--S-SS-S----S--S-S--]
HC,nrp1,7,30,0,1141.0,[--SSSS-SS--S----SS---S----S---SS-S--SS-S--S---S----S----SS-SS--SSS--S--S--SS-S-S--S-SS-S-------S-S--]
HC,nrp1,8,30,0,1147.0,[--SSSS-S--------SS---S-----S--SS-S---S-S--S---S----S----SS-SS-SSSS--SS-S--SS-S-S--S-SS-S-S---S-S-S--]
HC,nrp1,9,30,0,1134.0,[--SSSS-S---S----SS---S--S-----SS-S---S-S--S--------S-S--SS-SS--SSS--S--S--SS-S-S--S-SS-S-SS----S-S--]
HC,nrp1,10,30,0,1141.0,[--SSSS-SS-------SS-S-S--S-S---SS----SS----S---S----S-----S-SS--SSS--S--SS-SS-S-S--S-SS-S----S--S-S--]
HC,nrp1,11,30,0,1114.0,[--SSSS-SS-------SS-S-S--S-S---SS-S--SS--S-S--------S-------SS--SSS--S--SS-SS-S-S--S-SS-S-------S-S--]
HC,nrp1,12,30,0,1092.0,[--SSSS-SS-------SS---S----S-S-SS-S---S-S--S--------S----SSSS---S-S--SS-S--SS-S-S--S-SS-S-------S-S-S]
HC,nrp1,13,30,0,1137.0,[S-SSSS-SS-S----SSS-S------SS--S-----SS----S--S-----S-------SSSSSSS--S--SS----S-S--S-SS-S-------S-S--]
HC,nrp1,14,30,0,1141.0,[--SSSS-SS-------SS-S-S--S-S---SS-S--SS----S--------S----SS-SS--SSS-----SS-SS-S-S--S-SS-S----S--S-S--]
HC,nrp1,15,30,0,1157.0,[--SSSS-S----S---SS---S-----S--SS-S---S-S--S--------SS---SS-SS-SSSS---S-S--SS-S-S--S-SS-S-SS----S-S--]
HC,nrp1,16,30,0,1156.0,[--SSSS-SS------SSS-S-S--S-S---SS----SS----S--S-----S-------SS--SSS--S--SS-SS-S-S--S-SS-S----S--S-S--]
HC,nrp1,17,30,0,1158.0,[--SSSS-S--------SS-S-S-----S--SS-S---S-S--S--------S----SS-SS-SSSS--SS-SS-SS-S-S--S-SS-S-----S-S-S--]
HC,nrp1,18,30,0,1114.0,[--SSSS-SSS------SS-S-S----S---SS----SS----S--------S-----S-SS--SSS--S--SS-SS-S-S--S-SSSS-------S-S--]
HC,nrp1,19,30,0,1151.0,[--SSSS-SS------SSS-S----S-S---SS-S--SS----S--S-----S-------SS--SSS--S--SS-SS-S-S--S-SS-S----S--S-S--]
HC,nrp1,20,30,0,1141.0,[--SSSS-S---S---SSS---S--------SS-S---S-S--S----S---S-S--SS-SS--SSS--SS-S--SS-S-S--S-SS-S-------S-S--]
HC,nrp1,21,30,0,1159.0,[--SSSS-SS--S----SS-S-S----S---SS-S--SS-S--S--------S-------SS--SSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
HC,nrp1,22,30,0,1119.0,[--SSSS-S-S------SS---S--------SS-S---S-S--S--------S----SSSSS-SSSS--S--S--SS-S-S--S-SSSS-------S-S-S]
HC,nrp1,23,30,0,1107.0,[S--SSS-S--S-----SS-S----------S--S---S-S--SS--S----S----S-----SS-S--S-SSS-SS-S-S--S-SS-S-SS----S-S--]
HC,nrp1,24,30,0,1144.0,[--SSSS-S---S---SSS---S--------SS-S---S-S--S--------S-S--SS-SS--SSS--S--S--SS-S-S--S-SS-S-SS----S-S--]
HC,nrp1,25,30,0,1145.0,[--SSSS-S-------SSS---S-----S--SS-S---S----S--------S----SS-SSSSSSS--SS-S--SS-S-S--S-SS-S-----S-S-S--]
HC,nrp1,26,30,0,1133.0,[--SSSS-S--S-----SS---S--------SS-S---S-S--S--------S----SSSSSS-SSS--SS-S--SS-S-S--S-SS-S-------S-S-S]
HC,nrp1,27,30,0,1092.0,[--SSSS-S-S------SS-S-S------S-SS-----S----S--------S------SSS-SSSS--S--S--SS-S-S--S-SSSS--S----S-S-S]
HC,nrp1,28,30,0,1120.0,[--SSSS-S---S----SS---S--------SS-S---S-S--S---S----S----SSSSS-SSSS--S--S--SS-S-S--S-SS-S-------S-S-S]
HC,nrp1,29,30,0,1137.0,[--SSSS-S---S---SSS---S--------SS-S---S-S--S----S---S-S--SS-SS-SSSS--S--S--SS-S-S--S-SS-S-------S-S--]
ILS,nrp1,0,30,0,1196.0,[--SSSS-SS-------SS---S-----S--SS-S---S----S--------S----SS-SSSSSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
