alg,instance,cycle,budget,risk,fit,solution
ILS,nrp1,0,30,10,0.9505055868628562,[--SSSS-SS-------SS---S-----S--SS-S---S----S--------S----SS-SSSSSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,1,30,10,0.9424737673882884,[--SSSS-SS-S----SSS---S-----SS-SS-S---S----S--SS----S-------SS-SSSS--S-SS--SS-S-S--S-SS-S-------S-S--]
ILS,nrp1,2,30,10,0.9556319658525019,[--SSSS-S--S-----SS---S-----S--SS-S---S----S---S----S----SS-SS-SSSS--SSSS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,3,30,10,0.9524150586496517,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,4,30,10,0.9556319658525019,[--SSSS-S--S-----SS---S-----S--SS-S---S----S---S----S----SS-SS-SSSS--SSSS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,5,30,10,0.9482156348650496,[--SSSS-SS-S-----SS---S-----S--SS-S---S----S---S----S----SS-SSSSSSS--S-SS--SS-S-S--S-SS-S-------S-S--]
ILS,nrp1,6,30,10,0.946069027673938,[--SSSS-SS-S----SSS---S-----S--SS-----S----S--SS----S-------SS-SSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,7,30,10,0.9524150586496517,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,8,30,10,0.8986769262524649,[---SSS-S--S-----SS-S----------S--S--SS----S--------S------S-S--SSS-SS-SSS-S--S-S--SSSS-S-SS----S-SSS]
ILS,nrp1,9,30,10,0.9524150586496517,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,10,30,10,0.9536616148684687,[--SSSS-SS-S-----SS-S------SS--S--S--SS----S--------S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
ILS,nrp1,11,30,10,0.9487260077663816,[--SSSS-SS-S----SSS-S------SS--S-----SS----S--SS----S-------SS-SSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
ILS,nrp1,12,30,10,0.9505055868628562,[--SSSS-SS-------SS---S-----S--SS-S---S----S--------S----SS-SSSSSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,13,30,10,0.9279833564034831,[---SSS-SS-S-----SS-S----S-S---S-----SS----S--------S------S-SS-SSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S-S]
ILS,nrp1,14,30,10,0.9514077649633623,[--SSSS-SS-S----SSS-S------SS--S-----SS----S--S-----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
ILS,nrp1,15,30,10,0.9545988314975693,[--SSSS-SS-------SS-S----S-SS--S-----SS----S--------S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,16,30,10,0.9524150586496517,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,17,30,10,0.9524150586496517,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,18,30,10,0.9487621098590817,[--SSSS-S--S----SSS---S-----S--SS-S---S----S---S----S-------SSSSSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,19,30,10,0.9556319658525019,[--SSSS-S--S-----SS---S-----S--SS-S---S----S---S----S----SS-SS-SSSS--SSSS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,20,30,10,0.9505055868628562,[--SSSS-SS-------SS---S-----S--SS-S---S----S--------S----SS-SSSSSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,21,30,10,0.9545988314975693,[--SSSS-SS-------SS-S----S-SS--S-----SS----S--------S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,22,30,10,0.9556319658525019,[--SSSS-S--S-----SS---S-----S--SS-S---S----S---S----S----SS-SS-SSSS--SSSS--SS-S-S--S-SS-S-SS----S-S--]
ILS,nrp1,23,30,10,0.9536616148684687,[--SSSS-SS-S-----SS-S------SS--S--S--SS----S--------S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
ILS,nrp1,24,30,10,0.9524150586496517,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,25,30,10,0.9524150586496517,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,26,30,10,0.9524150586496517,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS,nrp1,27,30,10,0.9514077649633623,[--SSSS-SS-S----SSS-S------SS--S-----SS----S--S-----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
ILS,nrp1,28,30,10,0.9209361806388792,[---SSS-SSSS-----SS-S------S---S--S--SS----S---S----S--------S-SSSS--S-SSS-S--S-S--S-SSSS-SS----S-S--]
ILS,nrp1,29,30,10,0.9487260077663816,[--SSSS-SS-S----SSS-S------SS--S-----SS----S--SS----S-------SS-SSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
VISILS,nrp1,0,30,10,0.9418550882088558,[--SSSS-S--S-----SS------S--SS-S--S---S----S---S----S-------SSSSSSS--S-SS--SS-S-S--S-SS-S-SS-S--S-S--]
VISILS,nrp1,1,30,10,0.9545988314975693,[--SSSS-SS-------SS-S----S-SS--S-----SS----S--------S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
VISILS,nrp1,2,30,10,0.9536616148684687,[--SSSS-SS-S-----SS-S------SS--S--S--SS----S--------S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,3,30,10,0.9514077649633623,[--SSSS-SS-S----SSS-S------SS--S-----SS----S--S-----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,4,30,10,0.9209237920866105,[---SSS-S--S-----SS-S----S-----S--S---S----S---S----S------S-SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S-S]
VISILS,nrp1,5,30,10,0.9253263763110398,[S-SSSS-S-------S-S-S-S--S--S---S----SS----SS-------S-------S-SSS-S--S-S-S-SS-S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,6,30,10,0.9448461849955528,[--SSSS-SS-S-----SS-S-S----S---SS-S--SS----S--------S-------SS--SSS--S-SSS-SS-S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,7,30,10,0.9377257414814423,[S-SSSS-S--S-----SS---S-----S--SS-----S----SS-------S-------SSSSSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,8,30,10,0.9514077649633623,[--SSSS-SS-S----SSS-S------SS--S-----SS----S--S-----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,9,30,10,0.9536616148684687,[--SSSS-SS-S-----SS-S------SS--S--S--SS----S--------S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,10,30,10,0.9076686123324591,[---SSS-S--SS----SS-S-----------S-S---S-S--S---SS---S-S--S----S-S-S--SSS-S-SS-S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,11,30,10,0.9424737673882884,[--SSSS-SS-S----SSS---S-----SS-SS-S---S----S--SS----S-------SS-SSSS--S-SS--SS-S-S--S-SS-S-------S-S--]
VISILS,nrp1,12,30,10,0.9382361143827744,[--SSSS-SS-S-S---SS-S------SS--S-----SS----S---S----SS------SS-SSSS--S-SSS-S-SS-S--S-SS-S-------S-S--]
VISILS,nrp1,13,30,10,0.9440976131257993,[---SSS-S--S-----SS-S----S-----SS-S--SS----S---S----S--------SSSSSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
VISILS,nrp1,14,30,10,0.9351625519866196,[--SSSS-S--SS----SS---S-----S---S-S---S-S--S---SS---S-S--SS-S--SS-S--S-S---SS-S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,15,30,10,0.9522975545115997,[--SSSS-SS-------SS-S-S----SS--SS-S--SS----S--------S-------SSSSSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
VISILS,nrp1,16,30,10,0.934096506231304,[--SSSS-SS---S--SSS-S------SS--S--S--SS----S--S-----SS------SS-SSSS--S--SS-S-SS-S--S-SS-S-------S-S--]
VISILS,nrp1,17,30,10,0.9524150586496517,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
VISILS,nrp1,18,30,10,0.9407270996921966,[S--SSS-SS-------SS-S----S-S---S--S--SS----SS-------S--------SSSSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,19,30,10,0.9425438444454773,[--SSSS-SS-S----SSS--------SSS-S--S--SS----S--SS----S-------SS-SSSS--S-SS--SS-S-S--S-SS-S-------S-S--]
VISILS,nrp1,20,30,10,0.9290175543225214,[--SSSS-S--S-----SS---S-----S--SS-S---S----S---S----S------SSS-SSSS--S-SS--SS-S-S--S-SS-S-SS----S-S-S]
VISILS,nrp1,21,30,10,0.9556319658525019,[--SSSS-S--S-----SS---S-----S--SS-S---S----S---S----S----SS-SS-SSSS--SSSS--SS-S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,22,30,10,0.9460329255812379,[--SSSS-SS-S----SSS--------SS--S--S--SS----S--SS----S-------SS-SSSS--S-SS--S--S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,23,30,10,0.9463288130545798,[--SSSS-S--S-S---SS---S-----S--SS-S---S----S--------SS------SSSSSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,24,30,10,0.9451894995497578,[--SSSS-S--S-----SS-S-S--S--S---S-S---S----S---S----S----SS-S-SSS-S--S-S-S-SS-S-S--S-SS-S-SS----S-S--]
VISILS,nrp1,25,30,10,0.8940134930832881,[--SSSS-S-SS---S-SS---------S--S------SS---S---S----S------SSS-SSSS--S-SS--S--S-SS-S-SS-S-------S-S-S]
