alg,instance,cycle,budget,risk,fit,solution
ILS-GD,nrp1,0,30,0,1196.0,[--SSSS-SS-------SS---S-----S--SS-S---S----S--------S----SS-SSSSSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS-GD,nrp1,1,30,0,1175.0,[S--SSS-S--S-----SS-S----S-----S--S---S----SS--S----S--------SSSSSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS-GD,nrp1,2,30,0,1197.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS-GD,nrp1,3,30,0,1197.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS-GD,nrp1,4,30,0,1197.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS-GD,nrp1,5,30,0,1197.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS-GD,nrp1,6,30,0,1204.0,[--SSSS-S--S-----SS---S-----S--SS-S---S----S---S----S----SS-SS-SSSS--SSSS--SS-S-S--S-SS-S-SS----S-S--]
ILS-GD,nrp1,7,30,0,1167.0,[--SSSS-S--S-----SS---S-----S--SS-S---S----S---S----S------SSS-SSSS--S-SS--SS-S-S--S-SS-S-SS----S-S-S]
ILS-GD,nrp1,8,30,0,1197.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS-GD,nrp1,9,30,0,1198.0,[--SSSS-SS-S----SSS-S------SS--S-----SS----S--S-----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
ILS-GD,nrp1,10,30,0,1204.0,[--SSSS-S--S-----SS---S-----S--SS-S---S----S---S----S----SS-SS-SSSS--SSSS--SS-S-S--S-SS-S-SS----S-S--]
ILS-GD,nrp1,11,30,0,1204.0,[--SSSS-S--S-----SS---S-----S--SS-S---S----S---S----S----SS-SS-SSSS--SSSS--SS-S-S--S-SS-S-SS----S-S--]
ILS-GD,nrp1,12,30,0,1117.0,[---SSS-S-SS---S-SS------------SS-S---SS---S--------S------S-SS-SSS--S-SS--SS-S-SS-S-SSSS-------S-S-S]
ILS-GD,nrp1,13,30,0,1197.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS-GD,nrp1,14,30,0,1185.0,[--SSSS-S--S-----SS-S-S-----S--SS-S--SS----S--------S----SS-SS-SSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
ILS-GD,nrp1,15,30,0,1189.0,[--SSSS-SS-S-----SS-S-S----S---SS-S--SS----S--------S-------SS--SSS--S-SSS-SS-S-S--S-SS-S-SS----S-S--]
ILS-GD,nrp1,16,30,0,1195.0,[--SSSS-S--------SS-S-S--S--S--SS-----S----S--------S-------SSSSSSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS-GD,nrp1,17,30,0,1200.0,[--SSSS-SS-S-----SS-S------SS--S--S--SS----S--------S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
ILS-GD,nrp1,18,30,0,1156.0,[S--SSS-SS-S----SSS------------SS-S---S----SS--S----S--------SS-SSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS-GD,nrp1,19,30,0,1199.0,[--SSSS-SS-------SS-S-S----SS--SS-S--SS----S--------S-------SSSSSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
ILS-GD,nrp1,20,30,0,1198.0,[--SSSS-SS-S----SSS-S------SS--S-----SS----S--S-----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
ILS-GD,nrp1,21,30,0,1195.0,[--SSSS-S--S----SSS---S-----S--SS-S---S----S---S----S-------SSSSSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS-GD,nrp1,22,30,0,1194.0,[--SSSS-S--S-----SS-S-S-----S--SS-S---S----S--------S-------SSSSSSS--S-SSS-SS-S-S--S-SS-S-SS----S-S--]
ILS-GD,nrp1,23,30,0,1182.0,[--SSSS-SS---S--SSS---S-----S--SS-S---S----S--S-----SS------SS-SSSS--S-SS--SSSS-S--S-SS-S-------S-S--]
ILS-GD,nrp1,24,30,0,1192.0,[---SSS-SS-S-----SS-S------S---SS-S--SS-S--S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS----S-S--]
ILS-GD,nrp1,25,30,0,1204.0,[--SSSS-S--S-----SS---S-----S--SS-S---S----S---S----S----SS-SS-SSSS--SSSS--SS-S-S--S-SS-S-SS----S-S--]
ILS-GD,nrp1,26,30,0,1197.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS-GD,nrp1,27,30,0,1125.0,[---SSS-SS-S-----SS-S------S---S--S--SS----S--------S------S-S--SSS-SS-SSS-S--S-S--SSSS-S-------S-SSS]
ILS-GD,nrp1,28,30,0,1199.0,[--SSSS-SS-------SS-S-S----SS--SS-S--SS----S--------S-------SSSSSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
ILS-GD,nrp1,29,30,0,1197.0,[--SSSS-SS------SSS-S-S----SS--SS----SS----S--S-----S-------SS-SSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
ILS-RS,nrp1,0,30,0,1197.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS-RS,nrp1,1,30,0,1204.0,[--SSSS-S--S-----SS---S-----S--SS-S---S----S---S----S----SS-SS-SSSS--SSSS--SS-S-S--S-SS-S-SS----S-S--]
ILS-RS,nrp1,2,30,0,1179.0,[--SSSS-S--S-S---SS-S-S--S--S---S-----S----S---S----SS------S-SSS-S--S-S-S-SSSS-S--S-SS-S-SS----S-S--]
ILS-RS,nrp1,3,30,0,1201.0,[--SSSS-SS-------SS-S----S-SS--S-----SS----S--------S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS-RS,nrp1,4,30,0,1197.0,[--SSSS-SS------SSS-S-S----SS--SS----SS----S--S-----S-------SS-SSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
ILS-RS,nrp1,5,30,0,1197.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS-RS,nrp1,6,30,0,1193.0,[--SSSS-SS-S-----SS---S-----S--SS-S---S----S---S----S----SS-SSSSSSS--S-SS--SS-S-S--S-SS-S-------S-S--]
ILS-RS,nrp1,7,30,0,1196.0,[--SSSS-SS-------SS---S-----S--SS-S---S----S--------S----SS-SSSSSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS-RS,nrp1,8,30,0,1179.0,[--SSSS-S----S---SS------S--S--S--S---S----S---S----SS------SSSSSSS--S-SS--S-SS-S--S-SS-S-SS-S--S-S--]
ILS-RS,nrp1,9,30,0,1178.0,[--SSSS-SS---S---SS-S------SS--S--S--SS----S---S----SS------SS-SSSS--S-SSS-S-SS-S--S-SS-S-------S-S--]
ILS-RS,nrp1,10,30,0,1188.0,[--SSSS-S--S-----SS-S-S--S--S---S-S---S----S---S----S----SS-S-SSS-S--S-S-S-SS-S-S--S-SS-S-SS----S-S--]
ILS-RS,nrp1,11,30,0,1196.0,[--SSSS-SS-------SS---S-----S--SS-S---S----S--------S----SS-SSSSSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS-RS,nrp1,12,30,0,1197.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS-RS,nrp1,13,30,0,1192.0,[--SSSS-SS-S----SSS---S-----S--SS-S---S----S--S-----S-------SS-SSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS-RS,nrp1,14,30,0,1199.0,[--SSSS-SS-------SS-S-S----SS--SS-S--SS----S--------S-------SSSSSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
ILS-RS,nrp1,15,30,0,1198.0,[--SSSS-SS------SSS-S------SS--S-----SS----S--SS----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
ILS-RS,nrp1,16,30,0,1200.0,[--SSSS-SS-------SS-S------SS--S--S--SS----S---S----S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS----S-S--]
ILS-RS,nrp1,17,30,0,1195.0,[--SSSS-SS-S----SSS-S------SS--S--S--SS----S--SS----S-------SS-SSSS--S-SSS-S--S-S--S-SS-S-------S-S--]
ILS-RS,nrp1,18,30,0,1193.0,[--SSSS-SS------SSS---S----SS--SS----SS----S--S-----S-------SS-SSSS--S-SS--SS-S-S--S-SS-S-SS----S-S--]
ILS-RS,nrp1,19,30,0,1197.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS-RS,nrp1,20,30,0,1195.0,[--SSSS-S--------SS-S-S--S--S--SS-----S----S--------S-------SSSSSSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS-RS,nrp1,21,30,0,1199.0,[--SSSS-SS-------SS-S-S----SS--SS-S--SS----S--------S-------SSSSSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
ILS-RS,nrp1,22,30,0,1197.0,[---SSS-SS-S-----SS-S----S-S---S--S--SS----S---S----S--------SS-SSS--S-SSS-SS-S-S--S-SS-S-SS-S--S-S--]
ILS-RS,nrp1,23,30,0,1197.0,[--SSSS-SS------SSS-S-S----SS--SS----SS----S--S-----S-------SS-SSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
ILS-RS,nrp1,24,30,0,1185.0,[--SSSS-S--------SS-S-S-----S--SS-S--SS----S---S----S----SS-SS-SSSS--S-SSS-SS-S-S--S-SS-S-------S-S--]
ILS-RS,nrp1,25,30,0,1161.0,[--SSSS-S-S------SS---S-----S--SS-S---S----S--------S-------SSSSSSS--S-SS--SS-S-S--S-SSSS-SS----S-S--]
ILS-RS,nrp1,26,30,0,1201.0,[--SSSS-SS-------SS-S----S-SS--S-----SS----S--------S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS-RS,nrp1,27,30,0,1201.0,[--SSSS-SS-------SS-S----S-SS--S-----SS----S--------S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS-RS,nrp1,28,30,0,1152.0,[--SSSS-S--S-S---SS---------S--S--S---S----S--------SS-----SSSSSSSS--S-SS--S--S-S--S-SS-S-SS----S-S-S]
ILS-RS,nrp1,29,30,0,1201.0,[--SSSS-SS-------SS-S----S-SS--S-----SS----S--------S-------SSSSSSS--S-SSS-S--S-S--S-SS-S-SS-S--S-S--]
ILS-GD,nrp1,0,50,0,1812.0,[SSSSSS-SS-SSS--SSS-S-SS-S-SS--SS-S--SS-S--SS-S-S---SSS--SS-SSSSSSS--S-SSS-SSSSSS--S-SS-S-SS-S--S-S--]
