CONSTRUCTOR: greedy

STARTING SOLUTION: best from sampling

PERTURBATION: 2 customers

Processing data/requirements/classic/nrp1.txt ...
****************************** HC    	nrp1-30       	1137,6667	1178,0000
****************************** ILS   	nrp1-30       	1183,0000	1204,0000
****************************** VISILS	nrp1-30       	1184,3333	1204,0000
****************************** HC    	nrp1-50       	1724,5333	1762,0000
****************************** ILS   	nrp1-50       	1808,7000	1836,0000
****************************** VISILS	nrp1-50       	1811,9667	1836,0000
****************************** HC    	nrp1-70       	2431,8000	2499,0000
****************************** ILS   	nrp1-70       	2505,3000	2507,0000
****************************** VISILS	nrp1-70       	2505,3000	2507,0000
Processing data/requirements/classic/nrp2.txt ...
****************************** HC    	nrp2-30       	4304,4333	4443,0000
****************************** ILS   	nrp2-30       	4700,7333	4840,0000
****************************** VISILS	nrp2-30       	4746,2000	4875,0000
****************************** HC    	nrp2-50       	7339,9667	7445,0000
****************************** ILS   	nrp2-50       	7687,4000	7818,0000
****************************** VISILS	nrp2-50       	7700,2333	7886,0000
****************************** HC    	nrp2-70       	10839,0667	10904,0000
****************************** ILS   	nrp2-70       	11087,9667	11164,0000
****************************** VISILS	nrp2-70       	11100,2667	11223,0000
Processing data/requirements/classic/nrp3.txt ...
****************************** HC    	nrp3-30       	5664,4333	5972,0000
****************************** ILS   	nrp3-30       	7323,6333	7425,0000
****************************** VISILS	nrp3-30       	7344,1000	7420,0000
****************************** HC    	nrp3-50       	9593,5667	9842,0000
****************************** ILS   	nrp3-50       	11032,3333	11097,0000
****************************** VISILS	nrp3-50       	11052,2333	11112,0000
****************************** HC    	nrp3-70       	13760,5000	13821,0000
****************************** ILS   	nrp3-70       	14156,3667	14190,0000
****************************** VISILS	nrp3-70       	14184,5667	14195,0000
Processing data/requirements/classic/nrp4.txt ...
****************************** HC    	nrp4-30       	7525,7333	7767,0000
****************************** ILS   	nrp4-30       	10343,6000	10475,0000
****************************** VISILS	nrp4-30       	10396,1333	10487,0000
****************************** HC    	nrp4-50       	13171,5667	13558,0000
****************************** ILS   	nrp4-50       	15667,9000	15795,0000
****************************** VISILS	nrp4-50       	15723,7000	15829,0000
****************************** HC    	nrp4-70       	19827,5333	20115,0000
****************************** ILS   	nrp4-70       	20767,4333	20879,0000
****************************** VISILS	nrp4-70       	20853,6667	20890,0000
Processing data/requirements/classic/nrp5.txt ...
****************************** HC    	nrp5-30       	15697,3000	15964,0000
****************************** ILS   	nrp5-30       	16970,7000	17833,0000
****************************** VISILS	nrp5-30       	17672,0667	17904,0000
****************************** HC    	nrp5-50       	22719,0000	22989,0000
****************************** ILS   	nrp5-50       	24406,0333	24610,0000
****************************** VISILS	nrp5-50       	24457,7333	24568,0000
****************************** HC    	nrp5-70       	28683,0333	28751,0000
****************************** ILS   	nrp5-70       	28836,0000	28904,0000
****************************** VISILS	nrp5-70       	28889,2000	28905,0000
Processing data/requirements/realistic/nrp-e1.txt ...
****************************** HC    	nrp-e1-30     	5921,2667	6119,0000
****************************** ILS   	nrp-e1-30     	7825,8000	7883,0000
****************************** VISILS	nrp-e1-30     	7824,4000	7867,0000
****************************** HC    	nrp-e1-50     	9311,8333	9460,0000
****************************** ILS   	nrp-e1-50     	10982,3000	11027,0000
****************************** VISILS	nrp-e1-50     	10999,6667	11038,0000
****************************** HC    	nrp-e1-70     	12370,0667	12546,0000
****************************** ILS   	nrp-e1-70     	13426,7667	13471,0000
****************************** VISILS	nrp-e1-70     	13457,9333	13484,0000
Processing data/requirements/realistic/nrp-e2.txt ...
****************************** HC    	nrp-e2-30     	5545,3667	5699,0000
****************************** ILS   	nrp-e2-30     	7383,3667	7413,0000
****************************** VISILS	nrp-e2-30     	7383,9333	7413,0000
****************************** HC    	nrp-e2-50     	8743,6000	8915,0000
****************************** ILS   	nrp-e2-50     	10326,5000	10343,0000
****************************** VISILS	nrp-e2-50     	10330,5667	10359,0000
****************************** HC    	nrp-e2-70     	11578,7000	11756,0000
****************************** ILS   	nrp-e2-70     	12559,9667	12581,0000
****************************** VISILS	nrp-e2-70     	12577,5667	12597,0000
Processing data/requirements/realistic/nrp-e3.txt ...
****************************** HC    	nrp-e3-30     	5047,6667	5155,0000
****************************** ILS   	nrp-e3-30     	6606,1667	6639,0000
****************************** VISILS	nrp-e3-30     	6606,0000	6636,0000
****************************** HC    	nrp-e3-50     	7952,4667	8193,0000
****************************** ILS   	nrp-e3-50     	9315,5667	9341,0000
****************************** VISILS	nrp-e3-50     	9317,6333	9341,0000
****************************** HC    	nrp-e3-70     	10510,2333	10662,0000
****************************** ILS   	nrp-e3-70     	11350,9000	11376,0000
****************************** VISILS	nrp-e3-70     	11363,8333	11380,0000
Processing data/requirements/realistic/nrp-e4.txt ...
****************************** HC    	nrp-e4-30     	4438,6333	4526,0000
****************************** ILS   	nrp-e4-30     	5761,8667	5785,0000
