alg,instance,cycle,budget,risk,fit,solution
HC,nrp-e1,0,30,0,5973.0,[------S-S--S-----------SS-----S-------S------S----SS--SS-S-S----SSSS-SS-------S---S--S----S--S---S-----S--S----S---SS-----SSS------SS--S--S--SS----S----SS-SS---S---S----------S---S----S--S----SS-----S-SS-S------S-S-S---S----SSS---S--SS-SS-S---S--S-SS-SSSS-----S-SS------S------S--SSSS-----SSSSS--S----S-----S---S----SS-S----S-SSS--SS--S-S---SSSSSS--S--SS--SS-S--S--SS---SS-SSSSS-S----SS-S-S---S-SS--S--S---S----S-S--SS-S--------S-S-S--S-----SSSSS-SS--S-SSSSS--SSS----SSS------S----S-S-S--S--S--S-S-S-SSS----S-S--SSS-SSSS---S-S-S--S-S-SS]
HC,nrp-e1,1,30,0,5837.0,[------------------S----S-S----S---S--SS---S--S-----SS-----S----S-----S------SSS---S----S-SS----SS----SS---S-------S------SS------------S-SS----S-SSS-S------SSS-SS-S-S--S-S-SSS-----S---------------S--SSS-S-------S-S-------S---SSS-SSS--SSSSS--S-SSS-S---SSSS-S--SS-S-------S-S---S-----S-----SS-S-SS--S----S--S--S------SS--S------SS--S------SS--SSSS--S--SS-SSS-SS---S--SS-S------S---SSS-S-S----S-SS---S-S-S-SS-SS-----SS-------SSSSS---S-S-S-S-SS----SS-S---SSS--SSS--S-S--S--S-SS---S-SS---S------S---S-SS-S-SSS---SSS--SSSSSS--S-SS-SSS---SS-S-]
HC,nrp-e1,2,30,0,5853.0,[------S-S--SS-S-SSS----S-----S------SSS--S-S--S---S---S---S--SS--S-S------S--S--S---S-S----S-S-SSSS-SS-----------S---S--S-S-S------SSS----S-------S----SS-S--S-SS----SS--S-S---S---SSS-S-SSS----S-SS----S--S---S--S--S--S-----S-SS-----S---SSS----------SSSSS-----S-S-S-----S--SS----S--S--S------------S------------S--SS--S---------SS-----SS--S-----SS-SSSSSS-SSS---S-S---SS-S-SS-S-S-S--SS--SSSS-S---S-----S-S--SS--SSS------S-S--S-SS-S-SSSS--SS--S----SS--------SSSSS--S-S--S--S-------SS---S----S--SS-SS--S--SSSSS-SS-S--SSSS-SSSS-SSS-------SSS-]
HC,nrp-e1,3,30,0,5861.0,[--S-SSS-S------S-------SSS-------SSS-S---SSS-----SS-SSSS-SS------SS----------S-------S--S-SS-S-S-----S--S--------S--S---S-S--SS------S---S-------SSSSS-S--S---S--SS--------S------SS---SS--S----SSSS-S-S-S--S--S-----S-----SSSS---SS--S-----SS-----SSSS-S--SS-S--------S-SS------S--------SS------S--S-SS-----S-----S----------------------S-SS-S-S--S-S----SSS--SSSSSS--S--S---S-SS---S-------SSS-S-S------SSSSSS--SSS--SS---S-S-S-S-S-SS-SSSSSS-SS--------SS-----SS---SS---SSS--SS---S-S---S----SS-SSS-S---S------SSSSS-----S-S-SS-SSSS--S-SS-SS---SSS]
HC,nrp-e1,4,30,0,6098.0,[--S--S--------S---S-SSSS----------S-S--S-----S----SS-----S---S-S---S---S-SS-SS--S---S--S-SS--SS-S-S--S------S----S------SSSSSS-----SS-S----SS----S-S---SSSSS--S--S------S-SS------S-----SSSS-----S--S--S-SSS---------S----S-S---SSS-SS--S--SSS-S-S--SSS-SS-----S-----------S-S----------S-SSS----SSS--SSS------S--S---S--S---S------S-SS-S-S-SS--S-----SS----SSSSSS------SS--SS-S--S---SSS----SSS--S-SS--S----SS--S----S--------S-SS---SSS---SSS--SSS--S---SSS--S--S--S-SSSS-S-S-S--S--S----SSSS--SS---S---SSS-SS----SS----SSSS-S---SSSS---S-SSS----S-SS]
HC,nrp-e1,5,30,0,6047.0,[-------SS---S--S-------SSSS---------S---------S--SS----S--S--SS---S------S---SS------S----SS----SS---S-------S--S----S-SS---S---SS-SSS-S-S------SSSS-S-S---S-S--S-SS-S----SS-----SS-S--S-S--S----S--S--S--S-S-S----SSS----SSSS--S-S--S----SSSS----S-SS--S--SS-S-S---S-SS---SS--S---S----S--S--S-S--S-S---------------S-SSS--SS----S---------SSSS-----SSSS----SSS-S-S----SSSS-SS---SS---S-------SSS-S-------SS-SSSSS-S-S-------S-S-S---S-S-S--SS-S--S--SS-SS-SS--S-----S-SSS--SSS--SSS---S----S-SSSSS---S--S---SSSS--SS--S--S-S--SSSS-SSSS-SS--S---S-SSS-]
HC,nrp-e1,6,30,0,5901.0,[-SS--S-SS-SS----------SSS--S----S-S------SSS-S----S-------S----S-S-S-----S---SS-S--------S------S-S--S------------S-----SS-S--S--SSSSS----S-S---SS-SS---S--S-S--S-S-S-----SS-----SS---SS-S---S----SSS----S--S-S-----SS----------SS-------S--SS---SS---S-S-SSSS--S--S---S----SS-S--------S----SS-S--S-S------S-SS----SS-S----SS----S--SSS--S----S----SS-SS-S--S---S-S--S-----SSS---SS-S-S-SSS-S--S-S-S----SSSS--S-S--S--SS-----S-SSS---S-S-S--SSS--SS--SSSS--SS-S-----S-SSSS--S-S----S-------SS--------SS----SS-S---------S---SS-SSSS-SSS-SSS-SSSSS-SS-SS]
HC,nrp-e1,7,30,0,5941.0,[S-S--S-S-SSS------S----SS-------S-S--S-S-S---SS----SS-SS----S-----S------S-----S-S-SS-----S-S--SSS-----S-------S-S--SS--S-S--------SS--S-----S-S--SS----SS-----SSSS-S------S---S--S--SS--SSS-----SS--SSS-------------S-----S---S-SS---S-------S----S--SSSS-SS--S----S-S---S-S--S-----S--S-------S--S-SS-S------S-S-----SS-S---S-SS--S-SS--S------S-----S---SSSSSS-S----S--SSSSS-S--S-S---S-S---S-SSS-SS--S-SS--S-SS--SSS-SS----S-SS-S-S----SSSS---SSS--S--S------S---SS-SSS--SSS--S---S-SS--SSS---S-S--S--SS-SS-SS--SS--S--S-SS-SSS---SS---S---S---S---S]
HC,nrp-e1,8,30,0,5827.0,[----SS-S--SS---SSS---SSS----------SS-S-S-SS-SSS---S-S--S-----SSS---------S----S---SSS--------S-SSS--------------S----S--SSS--S-S---SS--S--S---S---SS-------S-----S------S--S---S-S--S---S-------S-S-S--S-S--S--SS--S-S-----SS-S--S-S--S---SS-------S-----S-SSSSS------SS---S------S-S--SS----------SS--SS-S---SS-SS-----SSSSS-S--S----SSS---S--SSS---SSS-S-SSSS-S-S------SSSSS-S---------S---S-S------SS------SS-S-S---SSSSS--S-SS---------SSS-S--SSS-SS--SSSS---S-S-SS-SSS----S--S-S---S---SS--SSSS---SS-S--S-SS---S-S---S--S--SS-SS-SS---S--SS-------S]
HC,nrp-e1,9,30,0,5990.0,[--S-SS---S-----SS---S--S-S-S--------------SS-S--S-SSS-S---S--S---S-SS-------SS-S-SS----S-S-S-S--S-S-S-S---SS---S----S---SSS------S-SSS---SS------S-----S-SSS----SS----SS--SS-------------S-S-S---S-----SS--S-----S--SS-----S-S---SSSSS-S-S-SSS---SS-SS-----SSSSSS---SSS----SS--S--S-S-----SSS--SS--S-----S---SS-SS--SS-S-S----------S-SS-S---SS------S-SS----S-S---SSS--SSSS-SS---S----S-S-S----SS---SS--S----SSSS---S---SS------SS-------S--SSSSSSS---S--SSSS-----SS--------SSS----S--S----S-S--S-S-S----SSS-S-------SS---S-SSS-S-S-SSS-S-S--S-SS----S-]
HC,nrp-e1,10,30,0,5953.0,[--S--S-----S-----SS-S-SSS--S--------S-S----S--S--S----------S---S-----S--S--------S-S--------S------S-S--------S--S-SS--S-S--S---SSSS-S---SS---S-S--S--SS-S--S-S-S---SS---SS------S-S-S----S---S-----S------S--SS----S-----S--S--S--S-S-----SS-S--S-SSS-S--SS--S------S-S---S----------SS-SS----SSSSSSS---SS--S--S----S-S-SSSS--S-----SS-S---SSS-SS--SSSS-S-SSS--S--S----SSSSSS----SSS--SS-SS----S--------SS-----SS-S-S----S--S-S--SS--SS---S-S--SSSS----S--SS---S-S-SS-SS-S-S--------S-S----SS--S---SS---SS-S---S-S--SSSS---S--S-S-SSSS--SS-SSSSS-SSSSS]
HC,nrp-e1,11,30,0,5944.0,[----SS------S-----S--SSSS-S-----S-SSSS-S--S-SSS---S---SS--S--S------S-----S--S-----SS-----S------SS-------S------S-----S---S-------SS----S--S----S-----S-S-S----SSS--------S---S-----------S--S-S---S-SS-S-----------SS----S----SS---SS-------SS-S-SSS--SS-SSS-SSS----S-----------SSS---S--S----SS-----SS-----SS-S---SS-SS--SS--S---S-SSS--S---SSS-S---SSSS-SS-S-S-S------S--SSSS-SS--SSSS--S---SSS--SS--S-S--SS----SSS--SS--S--SS----S----S-SSSSS--S---S-SSSS--SS--------S-SSSS---SS----SS-SS-S--SS--SS-SSS---SSSS-SSS---SS-SSSSS-SS-----S---SS-----S-S]
HC,nrp-e1,12,30,0,5870.0,[-S---S-SS----S---S-----S---S--S---S-SSS-SSS---S--S-----S----------S------SS--SS----S-S---S---S-S-S-----------SSS-S--S-S--------SS--SS---S--SSS---S-S---SS--------S-----SSSSS----------S----S-----SSS----S-----------SS-------SS--SSS--------S--S-SSS----SS-SS-S-------SS-S--S-SS-SSSS--------S-------S--S-SS--S-------S-S-------S-----SSS---SSS------SSSS-SS-S--SSS-S-------SSSSS---S--SSS---S---S-S--S--S-S--SS-S-SS-S--SSS------S-S-S-----SS-S--SS--SSSS--SS--S--S-SS-SSSSSS-S--S--S---S--SSS-SSS---SS--SS-SSSSS-S-S---S-----SSSS-S-SSS------SSS-S----]
