alg,instance,cycle,budget,risk,fit,solution
ILS,nrp1,0,30,0,5.266666666666667,[---------------------------S----S---SS----S---S------S---S-------S--------S--S-S--S--S--------------]
ILS,nrp1,1,30,0,6.666666666666665,[-----S-S---------S------------S--S-SSS-S--S-------S-------S----S-S---SS----S-S-S--SSSS-S---S---S-SSS]
ILS,nrp1,2,30,0,6.733333333333333,[---SSS-----------S--------------S----S--S-S---S---S-------S--S--S----------S----------S-------------]
ILS,nrp1,3,30,0,4.216666666666665,[-----S-----------------S-------------S---------------S---S---S-S------------------S-----------------]
ILS,nrp1,4,30,0,-272.0,[SS--S---S-S--------S-----------S-----S----S-----S-S--------S---------S----S--S----S--S-S-------S----]
ILS,nrp1,5,30,0,4.783333333333332,[---S-----------S----------S--S---S---S--------S--S-----------------SS-------------S----S-------S----]
ILS,nrp1,6,30,0,6.633333333333333,[---SS--S--------SS---S-----S--SS-S---S----S----S---S-S--SS----SS-S-----SS-SSSS----S-SS-S-SS----S-S--]
ILS,nrp1,7,30,0,-265.0,[----SS-S---------S-------SS---S-----------S---S----SS-----S-SSSS-S----S------S-------S----S----S----]
ILS,nrp1,8,30,0,6.333333333333332,[S--SSS-SS-------SSSS------S---S-----SS-------------S------S-S--SSS-----S-----S-S--S-SS-S---S---S-S-S]
ILS,nrp1,9,30,0,-270.0,[--SSS-----------SS---S--------SS-S---S----S----S---S----SSSSS--SSSS----S--SS-S-S--S-SS-S-------S-S-S]
ILS,nrp1,10,30,0,3.9833333333333334,[-----------------S------S-----S------S--S------S---S-----------S-----SS------S---------S---S--------]
ILS,nrp1,11,30,0,-291.0,[----S--S----S---SS-S-------S---------S---SSS-S-----SSSS-------S----SS--------S-S---------S----------]
ILS,nrp1,12,30,0,-304.0,[S---SS--S-S------S-------S--S-S------S----S---S----S-------SS--S-S--S-S----S-S-S--S-S-S---S-S--S-S--]
ILS,nrp1,13,30,0,6.483333333333333,[----------S--------S-------------S-------SS-----S-----S---S---------SS-S-----S---S--------------S---]
ILS,nrp1,14,30,0,0.2333333333333334,[-----------------S----------------------------------------------------------------------------------]
ILS,nrp1,15,30,0,6.616666666666665,[--S-S--SS-S------S-----S--S---S--S--SS----S--------S----S--SS-S-SS--------S-SS-S----SS---SS----S----]
ILS,nrp1,16,30,0,6.183333333333332,[----SS--S--SS---S-----S------SS------S-S--SS---S---S-S---------S-S--S--S-----S-S--S--S-S-------S----]
ILS,nrp1,17,30,0,6.516666666666667,[----SS-S--------S--S-------------S--SS------S-----SS----S---S-SSSS-----SS--S-S-S--S----S-S-S--------]
